audio_array,translated_text
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -2.62260437e-05
 -8.22544098e-06  1.31130219e-05]",The war was a first combat for the inheritance that was made by the capacity balance problem
"[ 0.          0.          0.         ... -0.00050038  0.00037348
 -0.00102758]",The number of deaths are at least 15 such a number that is being assumed
"[ 0.          0.          0.         ... -0.00064224  0.00137854
  0.00129002]",I didn't have me someday as people tried to break the silk to get off the rrucca to go out. I saw the scene of a macabre
[0.         0.         0.         ... 0.00286299 0.00288397 0.00243646],The water mounter on the surface surface is highly attractive than eachways as a result is created as a sizca.
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  5.78165054e-06
  1.26361847e-05 -1.11460686e-05]",However first fairly fairly distributed machines were built in Europe to Europe to the end of the century
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -8.84532928e-05
 -8.33868980e-05 -9.25064087e-05]",All these things and many matches many areaships that are considered to be considered an individual's person with an outside of the unknown)
[0.         0.         0.         ... 0.00311857 0.00327677 0.00378305],Many many hundred people who look forward to the roof in the castle of the charm of the peak appearance of the peaks that appear to the ocean.
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -6.46114349e-05
 -1.82390213e-05 -1.47223473e-05]",Around October of Octopus Since Octobus on October Eccavation on Octobus Early Friday Familitioned on the right pale for the animal rain.
"[ 0.          0.          0.         ... -0.00175583 -0.00132293
 -0.00118762]",The documents had shown to hide fourteen bank customers to esteem from taxes of taxes and other regulations.
[0.         0.         0.         ... 0.00023782 0.00015557 0.0001443 ],A long telefto lance usually requires a long teleptocography although the bird team is required for creatures or lives as in a living creature.
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -5.91278076e-05
  7.53760338e-04  4.54723835e-04]",It allows students to perform the ability to work in their own heart and the instructions.
[0.         0.         0.         ... 0.00025201 0.00016916 0.00026077],This person is prestains out from Galapgoos to come to a lot of mammal that becomes the bed covered with cats and dogs.
[0.         0.         0.         ... 0.00035727 0.00031954 0.00025845],The organization passage is required to access the temple so tone to the toner snakes don't forget to bring your passports.
[0.         0.         0.         ... 0.00264519 0.00401634 0.00531709],Total two will appear to be equally so different after everadiciation that they cannot be said the same spec.
[0.         0.         0.         ... 0.00015122 0.00014347 0.00015914],Humans are using lens for the vigins for a hurricane
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  9.47713852e-06
  3.95178795e-05 -1.19805336e-05]",A major opposition last month when the country signed an Aua that is decided to not do this contract
"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 8.46385956e-06
 7.21216202e-06 7.86781311e-06]",The more bad weather conditions of the iceberg is in hinder in excessive weather conditions.
"[ 0.          0.          0.         ... -0.00432825 -0.00374466
 -0.00372094]",We know the storage we know just a planet that demonstrates more quiet than title and its name is earth
"[ 0.          0.          0.         ... -0.00048941 -0.00033838
 -0.00027233]",Stalade's project manager Tomkxi said that will move the sky to the western court and starting the sky to Californian.
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -6.61611557e-06
  1.12652779e-05  4.32729721e-05]",Dowreaming soft as a sport and first entertainment ski club open by the Innovies in Al661
"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 5.24520874e-06
 4.89950180e-05 8.23140144e-05]",Singer savar armor was started after the fact that Jaa was collapse of jequa's challenged piece of jeroca fraud.
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -2.59280205e-04
 -8.67843628e-05  7.28964806e-05]",More than 100 feet above a satellite or telescope is required to state a satellite or telescope.
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  2.17676163e-04
  1.49905682e-04 -3.34978104e-05]",And sees every twenty or thirty minutes and see TV this is very tired
"[ 0.          0.          0.         ... -0.00066084 -0.00013489
  0.00036031]",Numine weight of LIZARI is born by syzzarity of Silitan sex in September 17th 2007
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -6.10351562e-05
 -5.72800636e-05 -6.35385513e-05]",Yet it is to be a matter of your concern because they're nest to the different lane to fill cracs.
"[ 0.          0.          0.         ... -0.00011539 -0.00010765
 -0.00011641]",The United States National Basket Bason Bason Cocondition has hurried on its professional basketball season on due to cowid -19.
"[ 0.          0.          0.         ... -0.00029188  0.00023896
 -0.00062698]",Druck Gals is a relaxion forest and his mergeous woods in the upper region in the upper area of ​​Parlo District.
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -3.01599503e-05
 -2.99215317e-05 -3.29613686e-05]",He also says that we have 4-month mice who is hymnarios who had been diagnosed who had already inested.
"[ 0.          0.          0.         ...  0.00116682 -0.00033802
  0.00093675]",Varibition about how many Hindu is the most commonly common optional is assessed between the fourth place as the most commonly spoken language is in the fourth place
[0.         0.         0.         ... 0.00128961 0.00108969 0.00197339],Terror sang a song in Woooky Chikeri Kajika Sajica Alexio with Alexio with Alexio.
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  4.82797623e-06
  2.96235085e-05 -4.94718552e-06]",Now he is defeated from the raorian in briobanections
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  8.79168510e-05
 -7.34925270e-05 -4.68730927e-04]",The culture rawhops the steps and fail to be recognized as an unspousing.
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -2.50339508e-04
 -1.48773193e-04  3.31997871e-05]",1969 Fight 1969 May the a command record to enter the pre-command modu and loading the fastest space to enter back to the previous record of return to the end of the starring time
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -1.20997429e-05
 -1.13844872e-05 -1.26361847e-05]",Even after the alert of alerting information or at the ocean of Hawai was closed near what is closer to that.
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -4.15444374e-05
 -4.20808792e-05 -5.62667847e-05]",Stark's people guarded around the native end of the northern ends of the reply.
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -8.94069672e-06
 -9.17911530e-06 -1.01327896e-05]",1969 Fight 1969 May the a command record to enter the pre-command modu and loading the fastest space to enter back to the previous record of return to the end of the starring time
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -1.19507313e-04
 -1.39474869e-04 -7.90953636e-05]","Other scriptures think that these trees are very pound, other animals may eat at noon when there is a walking length or pive today."
[0.         0.         0.         ... 0.00015116 0.00015283 0.00014734],The house in the SIM Rip was this Temple of the parrobes in the south-west of the hill in the early Yash York in the early 8th century.
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  2.34246254e-05
 -6.85751438e-04 -1.11883879e-03]",Large threads admitted to the first time that are straight on these comments are the first time they have been on the television.
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -2.40802765e-05
 -2.03847885e-05 -2.78353691e-05]",The speed of the 802.11 a speed is as more fast than a previous speed that is a 600 megabytes.
"[ 0.          0.          0.         ... -0.00148267 -0.00123268
 -0.00091618]",It has been rescued several pursuit yet and other other noise was killed
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -1.61051750e-04
 -1.07049942e-04  2.24709511e-05]",It wasn't to get rid of the British bases and ships to the British bases and ships for that work.
"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 1.63912773e-05
 3.51071358e-05 2.07424164e-05]",1 a very common problem when attempting to convert to the movie or film to convert movies
"[ 0.00000000e+00  0.00000000e+00 -1.19209290e-07 ...  1.27494335e-03
  1.20776892e-03  1.38664246e-03]",He came to the US books with the recommend letter written to the Recommended letter written by his privileged Edition.
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  1.24573708e-05
 -8.70227814e-06 -1.91926956e-05]",One have many mixed to driving in North Mexico and the deployment of the drivers in Nathany is very much close to the twelve tymans in addition to the small Chinese
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  4.01139259e-05
  2.02655792e-06 -2.02655792e-06]",Humans are using lens for the vigins for a hurricane
"[ 0.          0.          0.         ... -0.0004037  -0.00025541
 -0.00037909]",Many insulation foam appeared from fuel tank on an On-Board camera after a quit of 3 minutes.
"[ 0.          0.          0.         ... -0.00531316 -0.00537485
 -0.00645941]",The correspondence and the rest of the water can be dangerous for the trailors of ruin
"[ 0.          0.          0.         ... -0.00055319 -0.00052387
 -0.00060111]",Some wanted to make the German Syrian people close to the countrymen so so they invented the language literature
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -2.26497650e-06
 -2.20537186e-06 -2.56299973e-06]",According to men people only have twofold to invest by Ms.
"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 2.85506248e-05
 6.67572021e-06 8.94069672e-06]",How to work on my gravity of io's gravity energy if you stand on the Aio's surface is less than the earth
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  7.15255737e-07
 -1.01327896e-06  3.82661819e-05]",Finding the crash weather and cartim area to face the situation in the act of an accident.
[0.         0.         0.         ... 0.00245655 0.00240523 0.00291014],"They create as a windblowation of the air throat often like their moving and upright strikes a lot in the air, they can lift up and riding."
"[ 5.96046448e-08 -5.96046448e-08  5.96046448e-08 ... -1.06067657e-02
 -9.63264704e-03 -9.40817595e-03]",To add a network such as this is only to meet a single online form even if some network provides or require additional verification issues
"[ 0.          0.          0.         ... -0.00354373 -0.00362557
 -0.00387073]",An easy preparation is required for a day-day traveled and any moderate prospects can enjoy them.
"[ 0.00000000e+00  0.00000000e+00  5.96046448e-08 ... -6.58428669e-03
 -4.37957048e-03 -4.74530458e-03]",When individuals show many appearances of a particular attribute they are loser.
"[ 0.          0.          0.         ... -0.00283158 -0.00209159
 -0.00156212]",The passengers who can reconcile coordinate with new cultures sometimes they are sometimes exposed to trouble with the culture of one's country.
"[0.00000000e+00 0.00000000e+00 5.96046448e-08 ... 8.66353512e-04
 2.38794088e-03 2.55978107e-03]",The latest word option was not reported in the City Options On the Belt Options On the WayDell
"[ 0.          0.          0.         ... -0.00134385 -0.00124061
 -0.00163245]",One of the plants method in Savania has difficult to meet the cause of its alco-eighths by a damboam available.
"[ 0.          0.          0.         ... -0.00019962 -0.00013983
 -0.00010711]",As long as you can talk to all more people will everyone know you later and will inform you what boat people are looking for.
"[ 0.          0.          0.         ... -0.00033045 -0.00034368
 -0.00033259]",Was a main proposal of you had a major proposal of the test DN 1 is antivity
"[ 0.          0.          0.         ... -0.00091481 -0.00070798
 -0.00082529]",If one iron is unavailable or if you don't like to wear the iron made moaze you can try to use a hairst dryer.
"[ 5.96046448e-08  1.96695328e-06  4.64916229e-06 ... -1.83010101e-03
 -2.88188457e-03 -2.11977959e-03]",The percentage of the people performed at the end of the public collectance is a generally become a generally as soon as possible when percentage is never to become a general
"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 2.28285789e-05
 1.69277191e-05 8.48770142e-05]",The Bobika was born the proscious when playing the capital of the Croatian Zaggage
"[ 0.          0.          0.         ...  0.00232905 -0.00045848
 -0.00378788]","The area of ​​Turkey is more than 1,600 km of miles and 800 km of miles and 800 km dowors are manually."
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -4.13060188e-05
 -3.87430191e-05 -4.30941582e-05]",Hastuckycusly The relative of the breasty of the Velpocript family and violence
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -1.74045563e-05
 -1.74641609e-05 -1.90734863e-05]",This money Flood-to-use is to go for better water management and crops distreating.
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  8.21352005e-05
 -7.68899918e-06  1.85370445e-05]",The Bobika was born the proscious when playing the capital of the Croatian Zaggage
[0.         0.         0.         ... 0.00379646 0.00291669 0.00187248],In 1989 He helped the fire and glo-counterior to the web and the play of the show and the first author of the show of the show was responsible for the appointment of Teb.
"[-1.19209290e-07  2.38418579e-07  2.98023224e-07 ... -4.91189957e-03
 -6.26635551e-03 -5.50764799e-03]",In 2009 he was honored in the national superintendence in 2009
[0.         0.         0.         ... 0.0009259  0.00065762 0.00031841],Lockwood Gardens thinks that they may also be exposed to expose that they know that the oich this police are investing the public's home property in Oakland that can be caught in a horseying schoo.
"[0.00000000e+00 5.96046448e-08 2.38418579e-07 ... 4.11909819e-03
 3.40908766e-03 3.82465124e-03]",The United States of Strategic command in the United States Defense department observes
[0.         0.         0.         ... 0.00204307 0.00261205 0.00194132],They used to require a army launching pad to possess the major intentions of Italian countries that can lead to the army capitaliance.
"[ 0.          0.          0.         ... -0.00075126 -0.00075078
 -0.00090241]",Easter night has a few trades to watch sunrise
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  1.81794167e-05
 -3.44514847e-05  2.44379044e-05]",Please still visit that you're a site to a poison of a cyrians of a tribe that means to the unlikely.
"[ 0.          0.          0.         ... -0.00223726 -0.000992
 -0.00245595]","A lot in some countries, it is also included for the first time you have a first time between 10 years or dwinds."
"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 2.28285789e-05
 2.12788582e-05 3.11136246e-05]","The most beennished by high-danger, which can be included to the loss and death of lindness can be included as light or death."
[0.         0.         0.         ... 0.00166392 0.00201279 0.00227857],Emergian agriculture is being agriculture to produce only farming and her family.
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  4.23192978e-05
 -2.74181366e-05 -2.26497650e-05]",The answer Shum Serafloths Location District is located in the Pacific Ocehwear that is in the right side of the Long in the north of the longing from the lengtor from the south to the devevie to the devevie.
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  2.42590904e-05
  1.31130219e-06 -2.19345093e-05]",The invention of spoke wheels have fallen for more lightly fast and trosy and other charges and other charges
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -2.26497650e-06
 -1.90734863e-06 -2.02655792e-06]",The family is a rare look with children but some hostellates allow them into a personal room.
"[ 0.          0.          0.         ... -0.0014354  -0.00010067
  0.00016522]",Hydrozenton Kaloms are combined and becomes becomes become dead and produced the heavy components and the stars.
"[ 0.          0.          0.         ... -0.00310999 -0.00269705
 -0.00264454]","Some cross countries sitting in winter, running the best preparation for the remover widneos that runs."
"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 1.72853470e-05
 1.69277191e-05 1.97291374e-05]",In most spaces in most spaces in place and the steel cables in the more step space places a supporting rake
[0.         0.         0.         ... 0.01106256 0.01067168 0.01204377],More than 60 to 100 passengers are run in water on a water galapgous
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -3.66568565e-05
 -3.43918800e-05 -3.80277634e-05]",But if it never happens can happen to a long time.The stars waled so many that the trillion million there is a distance between the spots named the stars in the stars.
[0.         0.         0.         ... 0.00395715 0.00267237 0.00535411],"Very patiently, and saw that the heart was condemned"
"[ 0.          0.          0.         ... -0.00117427 -0.00109196
 -0.00130928]",The anchanician language is artificial or constructed language that is created in the purposes of facilitate the communications who can encounter otherwise communicating.
"[ 0.          0.          0.         ...  0.00089473  0.00133735
 -0.0006578 ]",They have been listed to the UNESCo worldly believed list
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  2.57492065e-05
 -2.98023224e-05 -5.40614128e-05]",Formbergen of Turkey's 37st land of the 1st country of emphasitan almost metropolton France and connected nation.
"[ 0.          0.          0.         ... -0.00022179 -0.00053388
 -0.00024444]",If hurt when you try to help you can only increase the problem
"[ 0.          0.          0.         ... -0.00321877 -0.00306618
 -0.00310844]",In 2007 was necessary to north side rock support due to the reasons in 2007
[0.         0.         0.         ... 0.02845025 0.02676141 0.02969015],2 songs of the movies of movies of the movies of the movie. Floss Humps and City of Stars Well off to yourHanncing Stud 2 has received 26 Namics - More other spelcol is more than.
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -8.28504562e-06
 -7.80820847e-06 -9.17911530e-06]",The carage of carages to be made to total 1300 to maximize crowded with additional 300 carages.
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -1.48534775e-04
 -7.04526901e-05 -3.71873379e-04]",If you cam out of calming caams or stamp that you will quarrel and avoid quarreliness and such humph.
[0.         0.         0.         ... 0.00019026 0.00015062 0.00023818],Already complained against him for copyright violation and complained against him but they were not penalty
"[-5.96046448e-08  5.96046448e-08 -5.96046448e-08 ...  5.83243370e-03
  5.79071045e-03  6.15006685e-03]",Ginysie has grown in the world business after 250 years so that 10 Billions Araro every year every year every year every Years every Year.
[0.         0.         0.         ... 0.00154376 0.00174993 0.0027383 ],The existence is only known as its influence on the spreading of the universe.
[0.         0.         0.         ... 0.00067776 0.00080961 0.00051671],Group parents have reviting their right to commit them in case of committing one of the other couples by another couple.
[0.         0.         0.         ... 0.00039935 0.00035125 0.00054455],"Johnson behind 7,243 is located with 2,243"
"[ 0.          0.          0.         ... -0.00568664 -0.00594133
 -0.00752777]","Cutebon demonstrates 3,850 square kilometers areas from which approximately 1-third of the water / should be enclosed"
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -4.60743904e-05
  2.15768814e-05  8.82148743e-06]",Both golf and Ragby Game is going to be back to the Ompic Sports
"[ 0.          0.          0.         ...  0.00034511 -0.00052345
  0.00018734]",The field of valapg vj Physgggg vaneshines and wild is the best of boat as a Box is the ashase Darwin 1835
"[ 0.          0.          0.         ... -0.00215828 -0.00274932
 -0.00159609]",Smenant needs to show the ep mail address and international phone number to figure advice and climb.
[0.         0.         0.         ... 0.00222975 0.00231737 0.00268966],They have many medium resources who eat the medium size to encumbly and diamonds to the furrow and deer.
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  6.22272491e-05
  3.36766243e-05 -4.67896461e-05]",Trafalgar square by crossing the best Whitehal by crossing the best Whitehol and Hold up Aldwerone through Kingswe and Holding Holdwhne with Kingswe and Holding their spring sessions in the rungit.
"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 3.09944153e-06
 2.92062759e-06 3.93390656e-06]","Other in other cases are required to reach out of tours accommodation, they still know the law so already know that is already knowing the law so already, and that is before knowing the rule."
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -9.41753387e-06
 -5.35249710e-05  3.15904617e-05]",Scheduled the testing from atorm on the next picture of course that sometimes appearingly than they met in the picture of course they appear in the picture.
"[ 0.00000000e+00  0.00000000e+00 -1.19209290e-07 ... -4.04536724e-04
 -2.04741955e-04 -4.25159931e-04]",This can be done with a common carc plan in a normal car but its tolerate lines of location 4x4 is can can be made to be bed.
[0.         0.         0.         ... 0.00024784 0.00038242 0.00133008],King Alexander proposed to pay for the rise for the temple. But his arrives was ignored.After the death of the death of Aleckeranders of Alecagor in Alexander's death.
"[ 0.          0.          0.         ... -0.00044    -0.00014406
 -0.0001089 ]",First economic repillars under the leadership of Ding Giopeing
"[ 0.          0.          0.         ... -0.00098962 -0.00106257
 -0.00072086]",Revision of crystals causing Mealamine and Ciaanric acid on the cat
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  1.66296959e-05
  6.85453415e-06 -1.80602074e-05]",This freedom was finished if this system may be completed
"[ 0.          0.          0.         ... -0.00570691 -0.00474447
 -0.00595564]",Germany desice of Germany are very good and in Barniant with wine is like a giver.
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -8.94069672e-07
 -7.15255737e-07 -7.15255737e-07]",The Attitation Divice Disard is an Sunupable syndrome whose classic can be found to have distractions and extreme verification or extreme forces or extreme forces.
"[ 0.          0.          0.         ... -0.00414532 -0.00269812
 -0.00116855]",Although several animals in the park is still wildlife still wild and it should not be to eat or disturb.
"[-5.96046448e-08  0.00000000e+00 -1.19209290e-07 ... -9.11951065e-06
  8.71419907e-05  3.71932983e-05]",At the same time was approximately 100 people in the area of ​​neighborhood
"[ 0.          0.          0.         ... -0.0583064  -0.05494529
 -0.06080759]",The women is required to wear skirts and their knees hiding skirts and their shoulder is also to cover
"[ 0.          0.          0.         ...  0.00065911 -0.00047064
  0.00043577]",Toky to host 2 Smergy Ompting Month of 1964
[0.         0.         0.         ... 0.00040191 0.00030136 0.00037903],The bars in the small city are not good for the visitors that come outside the country
[0.         0.         0.         ... 0.00390363 0.00458711 0.00315994],August 9 The Marakhot was nearly seventy kilometers about Figian province of smooth china
"[ 0.          0.          0.         ... -0.00059003  0.00033689
 -0.00047231]",1 day pass the passage in the US D Sahr provides the Caf Net Seis and El registrial service in the US Dum;They will be prevail of the foretood page.
"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 1.04308128e-05
 9.83476639e-06 1.09076500e-05]",The news referenced to the reference to the reference to the reference to the school of jeff whistle and 9 victims of the 9 victims of the 9 victims.
[0.         0.         0.         ... 0.0001871  0.00020635 0.00021356],Jenraol John Cadwadwadd may attack against British globalar to cloping a firewature.
[0.         0.         0.         ... 0.00023466 0.00021863 0.00024092],The living things are on the entire earth they dig the ground and flies the ocean and fly in the open air.
"[ 0.          0.          0.         ... -0.00342035  0.00491452
  0.0137949 ]",South grandmove or highway to Pole from ross in ross sea is the poll of pole. The highway is 1600 km.Fant.
"[ 0.          0.          0.         ...  0.00020379 -0.00037682
 -0.00034189]",If the Symptom of Flu is slightly adjusted to continue their duly activities.
"[ 0.          0.          0.         ... -0.00031978 -0.00026453
 -0.00038189]",The Handotor's new Nintendo revolcumped for the New Nineto Revlinds Console in the chief prevole of Tokyo Game Shows of Tokyo Game Show
[0.         0.         0.         ... 0.00022781 0.00056988 0.00016761],"Imagine if you can, imagine a manculan Bostonian and Sydencyd in a restaurant in a restaurant at Trivotto."
"[ 0.          0.          0.         ...  0.00041854 -0.00028068
 -0.00033015]","During the past three-speas, a communist out of time has been upgraded to date as a communist out of church."
"[ 0.          0.          0.         ...  0.00087869  0.00043476
 -0.00022066]",The number of deaths are at least 15 such a number that is being assumed
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  5.72204590e-06
 -3.24845314e-05 -5.54323196e-05]",Nahuchidor won the narrow 6 Points was clear
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -2.96235085e-05
 -2.78353691e-05 -3.09348106e-05]",Formulas the Smerica after the injured fleepe masa won the sumekure and had retired the Smerica in the 2006
[0.         0.         0.         ... 0.00139338 0.00184721 0.00295097],Most television is ready to make the usual crowd
"[0.00000000e+00 0.00000000e+00 5.96046448e-08 ... 4.79412079e-03
 4.08703089e-03 3.62426043e-03]",Excellent Visa for all spaces of Africa Do not forget to add extra costs of leaf transport etc.
"[ 0.          0.          0.         ... -0.00021911 -0.00025624
 -0.00027031]",Ronald reghan was transferred to the UCLA Medical Center where then he died
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  1.30414963e-04
 -2.23338604e-04 -3.83853912e-05]",The problem of zoom lens is more than the prime items to achieve focal complications and different focal lengths and different focal lengths.
"[ 0.00000000e+00  1.19209290e-07  6.55651093e-07 ... -4.77588177e-03
 -4.68409061e-03 -4.13852930e-03]","Exfalantable governments have not agreed to accept the economy when it is not destroyed by uncommonable Australia, which is no economic Australia was not destroyed by undefile and China."
"[ 0.          0.          0.         ... -0.00028598 -0.00027221
 -0.00030452]",Most consctories team posts shown in St. Pittersbieber Rusa
[0.         0.         0.         ... 0.00198823 0.00173938 0.00038981],First economic repillars under the leadership of Ding Giopeing
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  9.31024551e-05
 -3.99947166e-05 -1.34706497e-04]",Bush after a week of defeat in subordinary told a listener of track of trades in Asia
[0.         0.         0.         ... 0.00072908 0.00087458 0.0006727 ],Learn of pecloth is a religion of Indian subscription This started with a communal part of hindab religion in 15th century.
[0.         0.         0.         ... 0.00226837 0.00195909 0.00159234],It is unnecessary for you to use any phone company to use any of the route to the car however.
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -1.13844872e-05
 -1.00135803e-05 -1.14440918e-05]",A LATAM OLWORLLD BRAIN ALAIN AS ALAIN AD BY A LATAM OLWORLLD BLAR ALAIN ALAND BY ALUND BY ALOGAIN ARE NIGHT OUT OF TAINED Oceans.
"[ 0.00000000e+00  1.19209290e-07  4.76837158e-07 ... -9.31662321e-03
 -9.11092758e-03 -1.01250410e-02]",It may be better to use an agent who frequently book your same kind of journey.
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  3.67164612e-05
 -2.18749046e-05 -3.87430191e-06]",Brate in front of this source can include the owls a menstruary tidis or host other part or hospitality.
"[0.00000000e+00 0.00000000e+00 0.00000000e+00 ... 8.04662704e-06
 3.02791595e-05 1.59740448e-05]",The suspect bombing man was detached after being injured in the explosion.
"[ 0.          0.          0.         ...  0.00157797 -0.0014295
  0.00131625]",Vision visitors limit their time to leave their time without time to hear.
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -3.21865082e-05
  1.96695328e-05 -1.60336494e-05]",Is the matter of interest that is considered too importantly in ancient lefts and her name was not recorded.
"[ 0.          0.          0.         ... -0.0140869  -0.00129181
 -0.00899702]",Burns over the airport or broon on the crowd even if it is not illegally in your areas are a bad consideration.
[0.         0.         0.         ... 0.00057089 0.00050461 0.00060886],Recond when planning although South Africa are not sustainable country
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ...  6.85453415e-05
  1.18017197e-05 -5.44667244e-04]",The celebrates to see the celebrates in the temple with a shock of elephants regularly and other pleasues and other joy and other joy.
"[ 0.00000000e+00  0.00000000e+00  0.00000000e+00 ... -8.75592232e-05
 -6.08563423e-05 -5.78165054e-05]",The crashing is taken placed today and that was so much cartime that two were a half in the wild in the wild to find the rest of the ride.
